year,city,country,avg_temp,temp_5_MA
1754,Philadelphia,United States,12.29,11.038
1755,Philadelphia,United States,9.12,10.39
1756,Philadelphia,United States,12.41,10.262
1757,Philadelphia,United States,11.26,11.386
1758,Philadelphia,United States,10.43,11.102
1759,Philadelphia,United States,11.35,10.914
1760,Philadelphia,United States,10.12,11.114
1761,Philadelphia,United States,12.47,11.126
1762,Philadelphia,United States,11.8,11.234
1763,Philadelphia,United States,9.63,11.074
1764,Philadelphia,United States,12.02,11.208
1765,Philadelphia,United States,11.39,11.462
1766,Philadelphia,United States,12.4,11.448
1767,Philadelphia,United States,10.96,11.28
1768,Philadelphia,United States,10.89,11.532
1769,Philadelphia,United States,11.43,11.414
1770,Philadelphia,United States,11.32,11.4
1771,Philadelphia,United States,12.62,11.444
1772,Philadelphia,United States,11.99,11.65
1773,Philadelphia,United States,12.37,11.946
1774,Philadelphia,United States,11.92,12.044
1775,Philadelphia,United States,12.56,12.292
1776,Philadelphia,United States,11.6,12.088
1777,Philadelphia,United States,11.11,11.912
1778,Philadelphia,United States,9.36,11.31
1779,Philadelphia,United States,3.45,9.616
1781,Philadelphia,United States,12.09,9.522
1782,Philadelphia,United States,11.49,9.5
1783,Philadelphia,United States,11.16,9.51
1784,Philadelphia,United States,10.81,9.8
1785,Philadelphia,United States,10.85,11.28
1786,Philadelphia,United States,11.35,11.132
1787,Philadelphia,United States,11.35,11.104
1788,Philadelphia,United States,12.1,11.292
1789,Philadelphia,United States,11.77,11.484
1790,Philadelphia,United States,11.73,11.66
1791,Philadelphia,United States,11.74,11.738
1792,Philadelphia,United States,11.11,11.69
1793,Philadelphia,United States,12.18,11.706
1794,Philadelphia,United States,12.16,11.784
1795,Philadelphia,United States,11.59,11.756
1796,Philadelphia,United States,11.34,11.676
1797,Philadelphia,United States,11.25,11.704
1798,Philadelphia,United States,12.2,11.708
1799,Philadelphia,United States,11.69,11.614
1800,Philadelphia,United States,11.81,11.658
1801,Philadelphia,United States,12.22,11.834
1802,Philadelphia,United States,12.54,12.092
1803,Philadelphia,United States,12.42,12.136
1804,Philadelphia,United States,12.07,12.212
1805,Philadelphia,United States,12.71,12.392
1806,Philadelphia,United States,11.73,12.294
1807,Philadelphia,United States,11.53,12.092
1808,Philadelphia,United States,11.85,11.978
1809,Philadelphia,United States,11.13,11.79
1810,Philadelphia,United States,11.57,11.562
1811,Philadelphia,United States,11.67,11.55
1812,Philadelphia,United States,10.17,11.278
1813,Philadelphia,United States,11.25,11.158
1814,Philadelphia,United States,11.01,11.134
1815,Philadelphia,United States,10.63,10.946
1816,Philadelphia,United States,10.29,10.67
1817,Philadelphia,United States,10.16,10.668
1818,Philadelphia,United States,10.52,10.522
1819,Philadelphia,United States,11.37,10.594
1820,Philadelphia,United States,11.35,10.738
1821,Philadelphia,United States,10.79,10.838
1822,Philadelphia,United States,12.21,11.248
1823,Philadelphia,United States,11.17,11.378
1824,Philadelphia,United States,11.78,11.46
1825,Philadelphia,United States,12.45,11.68
1826,Philadelphia,United States,12.35,11.992
1827,Philadelphia,United States,11.82,11.914
1828,Philadelphia,United States,13.24,12.328
1829,Philadelphia,United States,11.5,12.272
1830,Philadelphia,United States,12.78,12.338
1831,Philadelphia,United States,11.28,12.124
1832,Philadelphia,United States,11.52,12.064
1833,Philadelphia,United States,11.6,11.736
